City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
171,Topolovgrad,BG,65.71,clear sky,42.0833,26.3333,"хотел ""Сакар"""
172,Westport,US,91.02,clear sky,41.1415,-73.3579,The Westport Inn
174,Sept-Iles,CA,66.72,thunderstorm with heavy rain,50.2001,-66.3821,Comfort Inn
176,Kisangani,CD,72.1,overcast clouds,0.5167,25.2,Grand Ramela Hotel
177,Constitucion,CL,53.17,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
178,Lagoa,PT,71.74,overcast clouds,39.05,-27.9833,Casa Das Faias
179,Kruisfontein,ZA,49.44,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
180,Port-Cartier,CA,66.42,overcast clouds,50.0334,-66.8654,Le Q'Artier
181,Grand Gaube,MU,69.39,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
183,Severnoye,RU,57.33,light rain,56.3491,78.3619,Gostinitsa Severyanka
185,Lompoc,US,86.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
186,Mana,GF,78.28,few clouds,5.6592,-53.7767,LE SAMANA
187,Torbay,CA,67.87,broken clouds,47.6666,-52.7314,Gallows Cove
188,Geraldton,AU,54.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
189,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
190,Nikolskoye,RU,65.88,clear sky,59.7035,30.7861,Tourist House - Sablino
191,Uribia,CO,87.55,overcast clouds,11.7139,-72.266,Hotel Uribia
192,Hervey Bay,AU,64.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
193,Touros,BR,75.34,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
194,Golpayegan,IR,77.65,clear sky,33.4537,50.2884,Golpayegan Tourist Hotel
195,Nyrob,RU,54.55,broken clouds,60.733,56.7202,Gostinitsa
196,Cidreira,BR,62.64,overcast clouds,-30.1811,-50.2056,Hotel Castelo
197,Energetik,RU,60.46,clear sky,51.7445,58.7934,Zhemchuzhina
198,Chuy,UY,51.85,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
199,Mecca,SA,86.09,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
200,Haines Junction,CA,57.38,overcast clouds,60.7522,-137.5108,Parkside Inn
201,Meulaboh,ID,77.2,overcast clouds,4.1363,96.1285,Kost Pria
202,Hudiksvall,SE,63.39,overcast clouds,61.729,17.1036,Best Western Hotell Hudik
203,Ponta Do Sol,PT,70.72,clear sky,32.6667,-17.1,Hotel do Campo
