City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
105,Qaanaaq,GL,77.484,-69.3632,43.75,91,100,10.49,light rain
106,Sitka,US,57.0531,-135.33,57.09,77,75,0.0,broken clouds
107,Hasaki,JP,35.7333,140.8333,84.29,85,64,17.07,broken clouds
108,Katsuura,JP,35.1333,140.3,82.42,85,41,15.84,scattered clouds
109,Pitimbu,BR,-7.4706,-34.8086,73.99,85,93,8.3,overcast clouds
110,Dongobesh,TZ,-4.0667,35.3833,48.52,90,7,7.11,clear sky
111,Listvyanskiy,RU,54.4399,83.4984,57.43,97,44,9.64,moderate rain
112,Ancud,CL,-41.8697,-73.8203,41.23,91,100,2.91,light rain
113,Hailar,CN,49.2,119.7,73.51,55,11,3.83,few clouds
114,Tasiilaq,GL,65.6145,-37.6368,37.56,78,84,3.15,broken clouds
115,Aleksandrov Gay,RU,50.147,48.5704,65.66,79,32,0.76,scattered clouds
116,Nouadhibou,MR,20.931,-17.0347,69.35,94,18,5.35,few clouds
117,Alice Springs,AU,-23.7,133.8833,38.75,70,0,0.0,clear sky
118,Misratah,LY,32.3754,15.0925,79.99,60,0,7.23,clear sky
119,Encruzilhada Do Sul,BR,-30.5439,-52.5219,62.11,96,100,3.36,overcast clouds
120,Namatanai,PG,-3.6667,152.4333,82.94,71,85,5.95,overcast clouds
121,Dwarka,IN,22.2394,68.9678,82.54,81,100,18.95,overcast clouds
122,Albany,US,42.6001,-73.9662,90.01,54,20,10.76,few clouds
123,Cape Town,ZA,-33.9258,18.4232,58.37,79,100,3.4,overcast clouds
124,Andenes,NO,69.3143,16.1194,53.58,87,100,5.75,light rain
125,Barrow,US,71.2906,-156.7887,46.42,76,20,26.46,few clouds
126,Ribeira Grande,PT,38.5167,-28.7,73.45,86,52,2.01,broken clouds
127,Twentynine Palms,US,34.1356,-116.0542,109.54,12,73,7.76,broken clouds
128,Port-Gentil,GA,-0.7193,8.7815,75.16,88,75,10.36,broken clouds
129,Karoi,ZW,-16.8099,29.6925,54.36,73,69,4.45,broken clouds
130,Bambous Virieux,MU,-20.3428,57.7575,69.22,68,86,17.27,overcast clouds
131,Castro,BR,-24.7911,-50.0119,59.68,83,57,2.64,broken clouds
132,Pacific Grove,US,36.6177,-121.9166,82.24,80,40,10.36,scattered clouds
133,Berlevag,NO,70.8578,29.0864,60.6,94,100,3.44,light rain
134,Talnakh,RU,69.4865,88.3972,56.21,75,16,5.08,few clouds
135,Riyadh,SA,24.6877,46.7219,93.34,10,37,9.86,scattered clouds
136,Dunedin,NZ,-45.8742,170.5036,44.46,83,94,2.28,overcast clouds
137,Cap Malheureux,MU,-19.9842,57.6142,69.48,72,79,5.99,broken clouds
138,Lethem,GY,3.3803,-59.7968,77.25,86,96,7.02,overcast clouds
139,High Level,CA,58.5169,-117.136,53.71,100,100,6.91,heavy intensity rain
140,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,88,75,6.91,broken clouds
141,Miranda,CO,3.2499,-76.2281,77.13,91,89,2.42,overcast clouds
142,Pahrump,US,36.2083,-115.9839,108.45,10,89,5.99,overcast clouds
143,Gravdal,NO,68.1214,13.5031,53.42,90,100,15.97,overcast clouds
144,Khorramshahr,IR,30.4397,48.1664,91.35,58,0,8.84,clear sky
145,Edendale,ZA,-29.6528,30.3147,55.85,84,85,2.66,overcast clouds
146,Burdur,TR,37.7203,30.2908,66.9,45,0,10.36,clear sky
147,Portobelo,PA,9.55,-79.65,79.74,85,100,1.36,overcast clouds
148,Whitehorse,CA,60.7161,-135.0538,64.31,45,87,15.99,overcast clouds
149,College,US,64.8569,-147.8028,66.2,56,100,6.91,overcast clouds
150,Simojovel,MX,17.1391,-92.7103,75.87,97,100,2.26,overcast clouds
151,Salta,AR,-24.7859,-65.4117,62.58,63,66,1.01,broken clouds
152,Visby,SE,57.6409,18.296,70.02,73,9,10.36,clear sky
153,Morros,BR,-9.4467,-46.3003,75.81,35,4,4.85,clear sky
154,Codrington,AU,-38.2667,141.9667,48.58,83,84,11.77,broken clouds
155,Severo-Kurilsk,RU,50.6789,156.125,53.83,96,100,25.26,heavy intensity rain
156,Port Elizabeth,ZA,-33.918,25.5701,50.31,97,14,7.18,few clouds
157,Bredasdorp,ZA,-34.5322,20.0403,47.19,88,100,3.65,overcast clouds
158,San Patricio,US,28.017,-97.5169,94.17,50,33,19.1,scattered clouds
159,Punta Arenas,CL,-53.15,-70.9167,32.11,93,20,20.71,few clouds
160,Sayat,TM,38.7839,63.8803,87.3,13,0,9.57,clear sky
161,Alta Floresta,BR,-9.8756,-56.0861,76.75,36,0,0.69,clear sky
162,Carballo,ES,43.213,-8.691,67.42,92,99,10.71,overcast clouds
163,Itaituba,BR,-4.2761,-55.9836,78.87,70,69,0.16,broken clouds
164,Abu Dhabi,AE,24.4667,54.3667,96.91,53,0,5.75,clear sky
165,Mar Del Plata,AR,-38.0023,-57.5575,51.1,68,0,2.3,clear sky
166,Bordighera,IT,43.7806,7.6645,81.55,70,0,3.13,clear sky
167,Ayorou,NE,14.7308,0.9174,91.26,42,72,4.85,broken clouds
168,Bullhead City,US,35.1478,-114.5683,116.02,12,75,8.05,broken clouds
169,Praia Da Vitoria,PT,38.7333,-27.0667,72.75,91,86,2.01,overcast clouds
170,Komsomolskiy,UZ,40.4272,71.7189,79.52,38,0,6.91,clear sky
171,Topolovgrad,BG,42.0833,26.3333,65.71,73,0,3.38,clear sky
172,Westport,US,41.1415,-73.3579,91.02,77,0,5.75,clear sky
173,Kaitangata,NZ,-46.2817,169.8464,44.74,86,97,2.42,overcast clouds
174,Sept-Iles,CA,50.2001,-66.3821,66.72,78,100,11.5,thunderstorm with heavy rain
175,Dikson,RU,73.5069,80.5464,43.18,93,100,15.77,light rain
176,Kisangani,CD,0.5167,25.2,72.1,94,88,1.68,overcast clouds
177,Constitucion,CL,-35.3333,-72.4167,53.17,88,49,10.83,scattered clouds
178,Lagoa,PT,39.05,-27.9833,71.74,89,96,4.27,overcast clouds
179,Kruisfontein,ZA,-34.0033,24.7314,49.44,87,37,5.48,scattered clouds
180,Port-Cartier,CA,50.0334,-66.8654,66.42,92,100,7.25,overcast clouds
181,Grand Gaube,MU,-20.0064,57.6608,69.39,72,80,5.99,broken clouds
182,Provideniya,RU,64.3833,-173.3,42.91,87,100,21.99,light rain
183,Severnoye,RU,56.3491,78.3619,57.33,99,100,4.09,light rain
184,Hermiston,US,45.8404,-119.2895,103.64,16,0,11.5,clear sky
185,Lompoc,US,34.6391,-120.4579,86.14,73,0,15.01,clear sky
186,Mana,GF,5.6592,-53.7767,78.28,85,21,8.88,few clouds
187,Torbay,CA,47.6666,-52.7314,67.87,76,79,6.8,broken clouds
188,Geraldton,AU,-28.7667,114.6,54.01,87,100,10.36,overcast clouds
189,Puri,IN,19.8,85.85,81.12,79,100,4.0,overcast clouds
190,Nikolskoye,RU,59.7035,30.7861,65.88,89,0,3.09,clear sky
191,Uribia,CO,11.7139,-72.266,87.55,57,94,20.85,overcast clouds
192,Hervey Bay,AU,-25.2986,152.8535,64.0,88,99,22.28,overcast clouds
193,Touros,BR,-5.1989,-35.4608,75.34,84,100,8.5,overcast clouds
194,Golpayegan,IR,33.4537,50.2884,77.65,28,0,4.03,clear sky
195,Nyrob,RU,60.733,56.7202,54.55,89,69,2.26,broken clouds
196,Cidreira,BR,-30.1811,-50.2056,62.64,90,93,4.0,overcast clouds
197,Energetik,RU,51.7445,58.7934,60.46,68,0,2.91,clear sky
198,Chuy,UY,-33.6971,-53.4616,51.85,89,92,6.29,overcast clouds
199,Mecca,SA,21.4267,39.8261,86.09,54,59,2.44,broken clouds
200,Haines Junction,CA,60.7522,-137.5108,57.38,57,100,7.81,overcast clouds
201,Meulaboh,ID,4.1363,96.1285,77.2,83,99,5.23,overcast clouds
202,Hudiksvall,SE,61.729,17.1036,63.39,96,100,7.0,overcast clouds
203,Ponta Do Sol,PT,32.6667,-17.1,70.72,82,3,6.17,clear sky
204,Te Anau,NZ,-45.4167,167.7167,39.22,91,67,1.21,broken clouds
205,Nieuw Amsterdam,SR,5.8833,-55.0833,82.42,82,20,5.75,few clouds
206,Ganderkesee,DE,53.0333,8.5333,62.78,95,100,14.97,overcast clouds
207,North Bend,US,43.4065,-124.2243,75.24,80,0,10.36,clear sky
208,Conde,BR,-7.2597,-34.9075,72.86,88,100,11.5,overcast clouds
209,Sibolga,ID,1.7427,98.7792,75.33,88,96,3.4,light rain
210,Curumani,CO,9.1999,-73.5427,81.41,85,93,1.66,overcast clouds
211,La Union,PE,-5.4,-80.75,75.24,49,37,13.67,scattered clouds
212,Ostersund,SE,63.1792,14.6357,54.61,87,100,9.22,overcast clouds
213,Iqaluit,CA,63.7506,-68.5145,41.7,93,77,4.0,broken clouds
214,Murmashi,RU,68.8154,32.8115,63.01,93,40,2.24,scattered clouds
215,Elizabeth City,US,36.2946,-76.2511,83.01,85,75,8.05,light rain
216,Eyl,SO,7.9803,49.8164,76.17,76,32,22.66,scattered clouds
217,Maues,BR,-3.3836,-57.7186,78.64,74,34,0.36,scattered clouds
218,Bathsheba,BB,13.2167,-59.5167,83.01,89,20,20.71,few clouds
219,Yei,SS,4.095,30.6779,64.44,94,25,2.73,scattered clouds
220,Yamada,JP,39.4667,141.95,70.52,93,92,0.65,light rain
221,Kristiinankaupunki,FI,62.2743,21.376,62.37,95,100,4.76,overcast clouds
222,Tura,IN,25.5198,90.2201,74.21,97,100,3.71,light rain
223,Taywarah,AF,33.35,64.4167,62.96,22,0,5.03,clear sky
224,Kutum,SD,14.2,24.6667,75.74,55,97,4.38,overcast clouds
225,Caravelas,BR,-17.7125,-39.2481,70.88,83,4,5.97,clear sky
226,Jacareacanga,BR,-6.2222,-57.7528,83.7,44,63,1.99,broken clouds
227,Nadvoitsy,RU,63.8667,34.3167,65.21,69,80,4.99,broken clouds
228,Baykit,RU,61.67,96.37,59.61,79,21,2.42,few clouds
229,Huarmey,PE,-10.0681,-78.1522,63.9,80,20,9.46,few clouds
230,Minab,IR,27.1467,57.0801,88.2,77,28,6.29,scattered clouds
231,Francavilla Fontana,IT,40.5306,17.5852,79.57,36,0,3.89,clear sky
232,Ghanzi,BW,-21.5667,21.7833,53.96,47,5,8.14,clear sky
233,Pine Bluff,US,34.2284,-92.0032,95.95,44,0,8.01,clear sky
234,Athabasca,CA,54.7169,-113.2854,77.41,42,99,13.15,overcast clouds
235,Bossangoa,CF,6.4926,17.4552,70.61,97,100,1.43,overcast clouds
236,Kaoma,ZM,-14.7833,24.8,59.05,57,52,6.35,broken clouds
237,Waipawa,NZ,-41.4122,175.5153,46.33,74,96,13.24,overcast clouds
238,Tromso,NO,69.6496,18.957,51.82,87,100,0.0,overcast clouds
239,Esperance,AU,-33.8667,121.9,52.57,81,55,17.76,broken clouds
240,Wanaka,NZ,-44.7,169.15,34.32,82,14,0.31,few clouds
241,Aden,YE,12.7794,45.0367,81.77,76,58,12.86,broken clouds
242,Qaqortoq,GL,60.7167,-46.0333,49.82,78,7,8.25,clear sky
243,Isangel,VU,-19.55,169.2667,79.68,72,3,17.31,clear sky
244,Hithadhoo,MV,-0.6,73.0833,79.95,75,100,8.03,heavy intensity rain
245,Jinka,ET,5.65,36.65,66.2,59,85,1.92,overcast clouds
246,Tallahassee,US,30.4383,-84.2807,88.86,73,40,9.22,scattered clouds
247,Najran,SA,17.4924,44.1277,84.85,35,71,2.42,broken clouds
248,Erdenet,MN,49.0333,104.0833,47.86,97,100,2.51,overcast clouds
249,Shakhtinsk,KZ,49.71,72.5872,62.94,59,48,5.99,scattered clouds
250,Dongsheng,CN,39.8161,109.9776,57.43,85,100,12.55,overcast clouds
251,Chokurdakh,RU,70.6333,147.9167,53.56,35,0,8.86,clear sky
252,Mount Darwin,ZW,-16.7725,31.5838,60.08,73,98,4.43,overcast clouds
253,Marsa Matruh,EG,31.3525,27.2453,75.67,67,0,10.11,clear sky
254,Tignere,CM,7.3667,12.65,64.71,98,100,1.81,moderate rain
255,Kununurra,AU,-15.7667,128.7333,62.58,67,6,0.0,clear sky
256,Savelugu,GH,9.6244,-0.8253,78.84,62,87,4.23,overcast clouds
257,Maceio,BR,-9.6658,-35.7353,76.44,88,20,3.44,few clouds
258,Talgar,KZ,43.3027,77.2395,64.56,45,0,2.24,clear sky
259,Hovd,MN,48.0056,91.6419,61.72,44,97,4.68,overcast clouds
260,Vostok,RU,46.4856,135.8833,61.39,98,99,1.28,overcast clouds
261,Krasnoselkup,RU,65.7,82.4667,50.63,81,71,3.29,broken clouds
262,Tezu,IN,27.9167,96.1667,75.72,97,100,2.44,overcast clouds
263,Aranda De Duero,ES,41.6704,-3.6892,75.72,22,0,4.03,clear sky
264,Umm Kaddadah,SD,13.6017,26.6876,78.51,56,99,2.53,overcast clouds
265,Xuddur,SO,4.1213,43.8894,70.97,75,58,20.0,broken clouds
266,Magdagachi,RU,53.45,125.8,66.13,74,86,3.47,overcast clouds
267,Lamar,US,33.6668,-95.5836,87.78,58,0,3.44,clear sky
268,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.16,86,5,10.42,clear sky
269,Karratha,AU,-20.7377,116.8463,68.0,82,0,7.76,clear sky
270,Jerez,GT,14.1,-89.75,86.45,55,20,8.05,few clouds
271,Valenca Do Piaui,BR,-6.4075,-41.7456,78.26,49,99,6.85,overcast clouds
272,Vadinsk,RU,53.6916,43.0574,53.19,97,39,7.56,scattered clouds
273,Ilulissat,GL,69.2167,-51.1,51.82,82,75,4.61,broken clouds
274,Marawi,PH,7.9986,124.2928,71.28,90,100,2.15,overcast clouds
275,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,51.87,91,99,4.41,overcast clouds
276,Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,1.14,broken clouds
277,Samarai,PG,-10.6167,150.6667,81.16,76,24,5.7,few clouds
278,Maloy,NO,61.9353,5.1136,53.33,81,66,11.56,broken clouds
279,Birao,CF,10.2849,22.7882,70.66,93,98,3.27,overcast clouds
280,Paamiut,GL,61.994,-49.6678,46.83,86,7,9.44,clear sky
281,Siukh,RU,42.5999,46.5446,54.27,93,100,2.08,overcast clouds
282,Sahuaripa,MX,29.05,-109.2333,99.28,35,24,2.15,few clouds
283,Biak,ID,-0.9131,122.8766,76.21,85,30,6.42,scattered clouds
284,Yurino,RU,56.2942,46.3039,55.76,94,94,5.79,overcast clouds
285,Talakan,RU,50.3167,130.3667,65.95,94,96,3.2,overcast clouds
286,Baculin,PH,7.4525,126.5842,80.6,80,29,3.22,scattered clouds
287,Resistencia,AR,-27.4606,-58.9839,74.1,75,0,2.3,clear sky
288,Buraydah,SA,26.326,43.975,88.25,12,12,7.0,few clouds
289,Pisco,PE,-13.7,-76.2167,60.85,82,100,16.11,overcast clouds
290,Sur,OM,22.5667,59.5289,86.41,71,86,10.69,overcast clouds
291,Blackfoot,US,43.1905,-112.345,94.78,7,29,10.65,scattered clouds
292,Maniitsoq,GL,65.4167,-52.9,46.94,85,97,12.88,overcast clouds
293,Khandyga,RU,62.6667,135.6,77.54,51,40,5.12,scattered clouds
294,Bakel,SN,14.905,-12.4568,77.99,85,99,4.27,overcast clouds
295,Banepa,NP,27.6298,85.5214,65.89,86,100,0.98,overcast clouds
296,Gravelbourg,CA,49.8834,-106.5512,80.87,23,4,15.28,clear sky
297,Bangui,CF,4.3612,18.555,70.86,97,100,1.59,overcast clouds
298,Olinda,BR,-8.0089,-34.8553,76.73,78,20,6.91,few clouds
299,Aras,ES,42.5617,-2.356,79.21,51,0,1.14,clear sky
300,Richards Bay,ZA,-28.783,32.0377,66.18,84,79,6.04,broken clouds
301,Inhambane,MZ,-23.865,35.3833,67.12,84,0,4.52,clear sky
302,Evensk,RU,61.95,159.2333,63.97,45,6,5.55,clear sky
303,Lokoja,NG,7.8024,6.743,72.45,96,59,3.51,light rain
304,Camopi,GF,3.1655,-52.3158,74.03,93,90,3.0,overcast clouds
305,Pordenone,IT,45.95,12.65,80.96,63,12,5.01,few clouds
306,San Pedro,PH,14.35,121.0167,83.26,80,20,2.3,few clouds
307,Aquiraz,BR,-3.9014,-38.3911,77.09,86,92,8.93,overcast clouds
308,Mahebourg,MU,-20.4081,57.7,70.25,77,40,11.5,scattered clouds
309,Catamarca,AR,-28.4696,-65.7852,62.58,49,39,3.53,scattered clouds
310,Dingle,PH,10.9995,122.6711,79.75,90,97,5.59,overcast clouds
311,Marzuq,YE,14.4,46.4667,76.93,61,10,7.61,clear sky
312,Novosheshminsk,RU,55.0651,51.2338,58.06,81,93,5.06,overcast clouds
313,Sosnovo-Ozerskoye,RU,52.5249,111.5418,60.51,76,100,6.8,overcast clouds
314,Lundazi,ZM,-12.2929,33.1782,62.51,60,25,9.71,scattered clouds
315,Kangasala,FI,61.4638,24.076,66.47,77,49,6.91,scattered clouds
316,Narsaq,GL,60.9167,-46.05,57.42,78,11,5.3,few clouds
317,Manzanillo,CU,20.3433,-77.1167,84.97,68,40,6.91,scattered clouds
318,Santa Fe,AR,-31.6333,-60.7,61.0,80,100,4.0,light rain
319,Daliang,CN,22.8504,113.247,86.05,70,0,3.29,clear sky
320,Beringovskiy,RU,63.05,179.3167,50.83,60,28,11.68,scattered clouds
321,Makaryev,RU,57.8797,43.8069,53.87,92,22,5.48,few clouds
322,Udachnyy,RU,66.4167,112.4,50.45,100,100,1.74,overcast clouds
323,Kuala Terengganu,MY,5.3302,103.1408,76.95,94,20,3.44,few clouds
324,Staroderevyankovskaya,RU,46.1276,38.9674,63.82,68,1,6.91,clear sky
325,Saint-Louis,SN,16.3333,-15.0,86.11,55,97,9.86,light rain
326,Vezirkopru,TR,41.1436,35.4547,59.49,86,0,0.51,clear sky
327,Kahului,US,20.8947,-156.47,84.22,66,40,19.57,scattered clouds
328,Sergeyevka,KZ,53.88,67.4158,55.96,87,1,9.53,clear sky
329,Kieta,PG,-6.2167,155.6333,83.53,63,93,2.13,overcast clouds
330,Gueret,FR,46.1667,1.8667,61.77,67,1,2.68,clear sky
331,Kjopsvik,NO,68.097,16.3742,54.18,92,100,1.45,overcast clouds
332,Panjab,AF,34.388,67.0233,60.93,31,0,3.76,clear sky
333,Agirish,RU,61.9247,63.0231,54.28,88,87,0.58,light rain
334,Taltal,CL,-25.4,-70.4833,59.0,85,9,3.09,clear sky
335,Pacifica,US,37.6138,-122.4869,84.24,85,20,25.32,mist
336,Batos,RO,46.8833,24.6667,55.09,43,0,5.32,clear sky
337,Killin,US,33.6123,-91.7412,89.69,55,40,4.61,scattered clouds
338,Dharchula,IN,29.85,80.5333,71.78,94,100,0.96,overcast clouds
339,Belen,TR,36.4891,36.2233,69.94,69,0,10.36,clear sky
340,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,4.61,overcast clouds
341,Clyde River,CA,70.4692,-68.5914,39.43,100,100,8.05,mist
342,Dawei,MM,14.0833,98.2,75.16,95,100,4.32,light rain
343,Broken Hill,AU,-31.95,141.4333,49.28,80,66,12.44,broken clouds
344,Nome,US,64.5011,-165.4064,48.27,72,100,11.5,overcast clouds
345,Necochea,AR,-38.5473,-58.7368,44.83,48,91,5.23,overcast clouds
346,Pafos,CY,34.7667,32.4167,76.78,50,0,1.14,clear sky
347,Gushikawa,JP,26.3544,127.8686,85.59,86,75,12.66,broken clouds
